TSt	TS	UMt	UM	SOt	SO
2.33333	94709.5	3.16667	53303.3	175.467	406666
2.36667	94570.3	3.21667	51804.1	178.833	406676
2.41667	94524.5	3.28333	51473.6	182.167	406682
2.45	94028.9	3.33333	50845.8	185.533	406684
2.48333	93833.7	3.4	50590.4	188.867	406688
2.53333	91797.7	3.45	49958.3	192.233	406692
2.56667	91525.5	3.51667	49699.2	195.567	406693
2.61667	91001.2	3.56667	49550.6	198.917	406696
2.66667	88974.1	3.63333	49306.7	202.2	406699
2.7	88723.6	3.68333	49316.1	205.283	406701
2.75	88335.4	3.75	49096.3	208.55	406703
2.78333	88289.8	3.8	48798	211.883	406702
2.81667	88081.3	3.86667	48452.4	215.217	406702
2.86667	87976.6	3.91667	48272	218.567	406704
2.91667	88100.5	3.98333	48006.3	221.917	406705
2.95	88122.9	4.03333	47833.4	225.25	406706
3	87682.6	4.1	47658.9	228.583	406707
3.03333	87485.5	4.15	47586.6	231.933	406708
3.08333	87238	4.21667	47210.5	235.283	406709
3.13333	86850.8	4.26667	46713	238.533	406709
3.16667	86740.3	4.33333	46537.8	241.683	406710
3.21667	86405.2	4.38333	46475.3	244.783	406710
