SVt	SV	Vt	V	SSVt	SSV	PSSVt	PSSV
13.6833	263870	-	-	20.2	55251.7	15.2333	53673
13.7167	263708	-	-	20.2667	55238.2	15.2667	53666.9
13.7667	263688	-	-	20.3167	55224.7	15.3167	53665.6
13.8	263664	-	-	20.3667	55110.5	15.3667	53638.6
13.8333	262774	-	-	20.4333	55012.3	15.4	53651.4
13.8667	262589	-	-	20.4833	54961.3	15.45	53643.9
13.9167	262612	-	-	20.5333	54949.7	15.4833	53635.7
13.95	262564	-	-	20.6	54951.5	15.5167	53566.9
13.9833	262588	-	-	20.65	54944.4	15.5667	53570.6
14.0167	262540	-	-	20.7	54932	15.6167	53567.6
14.0667	262425	-	-	20.7667	54928.7	15.6667	53537.5
14.1	262315	-	-	20.8167	54915.1	15.7167	53515.4
14.1333	262340	-	-	20.8833	54832.2	15.75	53493.8
14.1833	262143	-	-	20.9333	54834.6	15.8	53417.6
14.2167	261960	-	-	20.9833	54838.7	15.8333	53387.7
14.25	261985	-	-	21.05	54731.8	15.8833	53297
14.3	261824	-	-	21.1	54722.7	15.9167	53287.7
14.3333	261684	-	-	21.15	54707.7	15.95	53135.9
14.3667	261707	-	-	21.2167	54728	16.0167	53111.2
14.4	261663	-	-	21.2667	54744.9	16.0667	53106.6
14.45	261506	-	-	21.3167	54750	16.1	53073.1
14.4833	261046	-	-	21.3833	54761.6	16.15	53072.9
14.5167	261070	-	-	21.4333	54759.3	16.1833	53074.7
14.5667	260971	-	-	21.5	54761.5	16.2333	53058.1
14.6	260961	-	-	21.55	54752.1	16.2833	53055.2
14.6333	260610	-	-	21.6	54723.3	16.3333	53044.4
14.6833	260633	-	-	21.6667	54707.9	16.3667	53015.3
14.7167	260589	-	-	21.7167	54614.5	16.4167	53005.3
14.75	260399	-	-	21.7667	54613.9	16.45	52994.3
14.8	260079	-	-	21.85	54599.9	16.5	52995.1
14.8333	259541	-	-	21.9	54599.4	16.55	52958.8
14.8667	259489	-	-	21.95	54592.6	16.5833	52947.2
14.9167	259375	-	-	22.0333	54587	16.6167	52947.4
14.95	259317	-	-	22.0833	54567.7	16.6667	52949.1
14.9833	259089	-	-	22.15	54570.8	16.7167	52937.7
15.0167	259113	-	-	22.2	54530.4	16.75	52897.6
15.0667	258814	-	-	22.25	54521	16.8	52905.4
15.1	258765	-	-	22.3333	54449.3	16.8333	52908.2
15.1333	258789	-	-	22.3833	54453.8	16.8833	52920.8
15.1833	258814	-	-	22.4333	54443.6	16.9167	52898
15.2167	258669	-	-	22.5	54371	16.95	52855.2
15.25	257776	-	-	22.55	54360	17	52860.6
15.3	257717	-	-	22.6	54343.3	17.05	52859.7
15.3333	257518	-	-	22.65	54341.1	17.0833	52862.6
15.3667	257132	-	-	22.7	54263.5	17.1333	52853.4
15.4167	257155	-	-	22.7667	54265.3	17.1667	52845.8
15.45	257052	-	-	22.8167	54264.4	17.2333	52842.2
15.4833	257075	-	-	22.8667	54268.1	17.2667	52820.5
15.5333	256966	-	-	22.9333	54264.1	17.3167	52820.8
15.5667	256988	-	-	22.9833	54249.7	17.35	52794.2
15.6	256895	-	-	23.0333	54263.8	17.4	52746.2
15.6333	256714	-	-	23.1	54250.3	17.45	52718.7
15.6833	256704	-	-	23.15	54226	17.4833	52721
15.7167	256661	-	-	23.2	54225.4	17.5333	52628
15.75	256440	-	-	23.2667	54223.6	17.5667	52635.2
